idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
120,Ohio,Lorain County,NORTH RIDGEVILLE,"['B-1', 'B-2', 'B-3', 'B-4', 'B-5', 'I-1', 'I-2', 'I-3', 'PCD', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,14,https://library.municode.com/oh/bellbrook,NOT_FOUND
121,Ohio,Butler County,FAIRFIELD,"['A-1', 'B-1', 'C-1', 'C-2', 'C-2A', 'C-2B', 'C-3', 'C-3A', 'C-4', 'M-1', 'M-1A', 'M-2', 'R-1', 'R-2', 'R-3', 'R-4']",16,16,https://codelibrary.amlegal.com/codes/montgomery/latest/overview,codelibrary
122,Ohio,Cuyahoga County,SOUTH EUCLID,"['C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-40', 'R-50', 'R-60', 'R-75', 'R-O']",10,10,https://codelibrary.amlegal.com/codes/wyoming/latest/overview,codelibrary
124,Ohio,Hamilton County,MONTGOMERY,"['A', 'B', 'C', 'E', 'OC', 'R-7']",6,9,https://codelibrary.amlegal.com/codes/struthers/latest/overview,codelibrary
125,Ohio,Hamilton County,WYOMING,"['A', 'B', 'C-1', 'C-2', 'C-3', 'E']",6,6,https://library.municode.com/oh/huber_heights,NOT_FOUND
126,Ohio,Lorain County,AVON,"['C-1', 'C-2', 'C-3', 'C-4', 'M-1', 'M-2', 'O-1', 'O-2', 'R-1', 'R-2', 'R-3']",11,11,https://codelibrary.amlegal.com/codes/sevenhills/latest/overview,codelibrary
127,Ohio,Mahoning County,STRUTHERS,"['A', 'B', 'C', 'C-1']",4,8,https://codelibrary.amlegal.com/codes/macedonia/latest/overview,codelibrary
129,Ohio,Cuyahoga County,SEVEN HILLS,[],0,0,https://codelibrary.amlegal.com/codes/perryoh/latest/overview,codelibrary
130,Ohio,Summit County,MACEDONIA,"['B', 'B-1', 'B-2', 'B-3', 'B-4', 'I', 'R', 'R-P']",8,8,https://library.municode.com/ok/mustang,NOT_FOUND
138,Pennsylvania,Westmoreland County,MONESSEN,[],0,0,https://library.municode.com/sc/irmo,NOT_FOUND
139,Rhode Island,Bristol County,BARRINGTON,[],0,0,https://library.municode.com/sc/tega_cay,NOT_FOUND
140,South Carolina,Charleston County,JAMES ISLAND,"['A', 'B', 'C', 'I', 'O', 'PD', 'R']",7,13,https://library.municode.com/tn/farragut,NOT_FOUND
145,Tennessee,Shelby County,COLLIERVILLE,"['A', 'B', 'CB', 'FAR', 'GC', 'GI', 'NC', 'R-1', 'R-1A', 'R-2', 'R-25', 'R-2A', 'R-3', 'R-3A', 'R-4', 'RL', 'SCC', 'T']",18,18,https://library.municode.com/tx/converse,NOT_FOUND
178,Utah,Davis County,FARMINGTON,"['A', 'B']",2,2,https://library.municode.com/ut/bluffdale,NOT_FOUND
180,Utah,Davis County,SOUTH WEBER,['A'],1,1,https://library.municode.com/ut/alpine,NOT_FOUND
182,Utah,Salt Lake County,HERRIMAN,"['A', 'A-1', 'B', 'C-1', 'C-2', 'EC', 'H', 'M-1', 'MU', 'MU-2', 'OP', 'PD', 'R-1-10', 'R-1-15', 'R-M', 'RC', 'VMU', 'W']",18,18,https://library.municode.com/ut/spanish_fork,NOT_FOUND
184,Utah,Utah County,CEDAR HILLS,[],0,0,https://codelibrary.amlegal.com/codes/santaclaraut/latest/overview,codelibrary
187,Utah,Washington County,SANTA CLARA,['OS'],1,1,https://library.municode.com/wa/camas,NOT_FOUND
